,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
477,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Very conservative,2 people,Full-time employment
481,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,"Some college, no degree",Asian,,Divorced,Other,More than once a week,,,Moderate,More than 4,Full-time employment
483,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Independent,,Moderate,More than 4,Unemployed
484,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Protestant,A few times a year,Democrat,"\$75,000-\$100,000",Liberal,2,Retired
485,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Seldom,Democrat,,Very liberal,3 people,Unemployed
486,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",,Atheist,Never,Democrat,,Very liberal,2 people,Full-time employment
487,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,College graduate/some postgrad,Black,,Divorced,Other,Once a week,Democrat,,Very liberal,2,Full-time employment
488,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Nothing in particular,A few times a year,,,Moderate,2 people,Retired
489,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,College graduate/some postgrad,Other,,Never been married,Orthodox,Never,Democrat,,Liberal,4,Part-time employment
492,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Muslim,Once a week,,,Moderate,4 people,Full-time employment
493,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Once or twice a month,,,Moderate,2 people,Student
494,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,Democrat,,Liberal,1 person,Full-time employment
495,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,College graduate/some postgrad,Black,"Yes, a citizen of the United States",,Nothing in particular,A few times a year,,,Very liberal,2 people,Part-time employment
496,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Atheist,Never,,,Liberal,3 people,Student
497,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,Associate's degree,Hispanic,,Never been married,Atheist,Never,Democrat,,Very liberal,More than 4,Student
498,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,,,Protestant,A few times a year,Republican,,Conservative,2,Full-time employment
499,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,"Some college, no degree",White,No,Never been married,Atheist,Never,Independent,"\$30,000-\$50,000",Liberal,4,Unemployed
501,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",White,,Married,Nothing in particular,Never,Democrat,,Liberal,3,Full-time employment
502,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",,Protestant,Once a week,Republican,"\$30,000-\$50,000",Conservative,2 people,Part-time employment
509,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,Associate's degree,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,Once a week,,,Moderate,4 people,Part-time employment
510,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,White,,Never been married,Roman Catholic,Once or twice a month,Republican,,Conservative,4,Full-time employment
511,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Agnostic,Seldom,Democrat,"Less than $30,000",Liberal,2 people,Full-time employment
513,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Very liberal,2 people,Full-time employment
516,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,College graduate/some postgrad,White,,Divorced,Protestant,Seldom,Independent,,Very conservative,4,Retired
518,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",Married,Roman Catholic,A few times a year,Independent,,Moderate,More than 4,Full-time employment
522,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",Married,Atheist,Seldom,Democrat,,Very liberal,2 people,Home-maker
523,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,High school graduate,White,,Never been married,Roman Catholic,Seldom,Democrat,,Very liberal,2 people,Self-employed
524,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Associate's degree,Black,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Moderate,More than 4 people,Part-time employment
525,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,High school graduate,White,"Yes, a citizen of the United States",Married,Atheist,Never,,,Liberal,More than 4 people,Home-maker
526,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,Associate's degree,Black,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Very liberal,3 people,Student
528,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Moderate,2 people,Student
530,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",Black,,Married,Nothing in particular,A few times a year,Something else,,Moderate,More than 4,Self-employed
531,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,College graduate/some postgrad,Hispanic,,Married,Roman Catholic,Once a week,Republican,,Conservative,4,Full-time employment
535,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Other,Never,,,Moderate,3,Self-employed
536,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Atheist,Never,,,Conservative,More than 4,Full-time employment
537,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,White,,,Nothing in particular,Never,Republican,,Moderate,4,Home-maker
539,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Jewish,A few times a year,Republican,"\$30,000-\$50,000",Conservative,More than 4,Part-time employment
540,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Atheist,Seldom,,,Liberal,1 person,Retired
541,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",,Roman Catholic,Seldom,,,Conservative,3 people,Full-time employment
542,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,College graduate/some postgrad,,,Married,Protestant,Once a week,Republican,,Conservative,4,Self-employed
543,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,"Some college, no degree",Black,"Yes, a citizen of the United States",Divorced,Roman Catholic,Seldom,Democrat,"\$30,000-\$50,000",Very liberal,1 person,Part-time employment
544,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,White,,Never been married,Nothing in particular,Never,,,Moderate,2,Full-time employment
545,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Less than high school,White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,,,Very liberal,4 people,Self-employed
546,"Lives in the South region of the United States (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,30-49 years old.,College graduate/some postgraduate studies.,Black.,"Yes, a citizen of the United States.",Married.,Protestant.,Seldom attends religious services (aside from weddings and funerals).,Identifies as a Democrat.,"Total family income last year was $75,000-$100,000.",Very liberal.,3 people.,Home-maker.
547,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Moderate,1 person,Unemployed
548,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,Seldom,,,Conservative,2 people,Retired
549,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,White,,Never been married,Protestant,Once a week,Independent,,Conservative,2,Full-time employment
552,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,Associate's degree,Black,"Yes, a citizen of the United States",Married,Atheist,Never,,,Liberal,2 people,Full-time employment
553,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,"\$50,000-\$75,000",Liberal,1 person,Full-time employment
554,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,"\$100,000 or more",Liberal,3 people,Unemployed
558,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,,,Agnostic,Seldom,Independent,,Moderate,4,Full-time employment
559,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,Associate's degree,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Very liberal,1 person,Retired
560,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Once a week,Democrat,,Very liberal,3 people,Self-employed
561,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",,Protestant,A few times a year,Republican,"\$30,000-\$50,000",Very conservative,2 people,Full-time employment
563,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",Other,,Never been married,Protestant,Seldom,Independent,,Moderate,1,Self-employed
564,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",,Atheist,Never,,,Very liberal,2 people,Unemployed
571,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Never been married,Agnostic,Never,,,Very liberal,1 person,Full-time employment
573,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",White,,Never been married,Protestant,A few times a year,Democrat,,Liberal,More than 4,Full-time employment
574,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,College graduate/some postgrad,White,,Never been married,Roman Catholic,Never,Republican,,Very conservative,More than 4,Student
575,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",Other,,Never been married,Agnostic,Never,Democrat,,Very liberal,2 people,Self-employed
576,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,High school graduate,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,A few times a year,Republican,"$50,000-$75,000",Conservative,4 people,Full-time employment
577,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Male.,50-64 years old.,Associate's degree.,White.,,Never been married.,Other.,Once a week.,,,Moderate.,1 person.,Full-time employment.
578,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",,Atheist,Never,Democrat,,Very liberal,2 people,Full-time employment
579,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Associate's degree,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,Seldom,,,Liberal,4 people,Unemployed
580,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,,,Conservative,4 people,Unemployed
581,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",,Nothing in particular,Seldom,Democrat,"Less than $30,000",Liberal,1 person,Retired
583,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Nothing in particular,A few times a year,,,Moderate,3 people,Full-time employment
588,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Postgraduate,White,,Married,Roman Catholic,A few times a year,Republican,,Conservative,2 people,Part-time employment
589,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,White,,Married,Atheist,Never,Democrat,,Very liberal,4,Full-time employment
590,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",White,,Never been married,Agnostic,Never,,,Moderate,4,Unemployed
592,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",Black,,Divorced,Other,Once a week,Democrat,,Moderate,3,Full-time employment
593,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,,Married,Nothing in particular,A few times a year,,,Conservative,More than 4,Part-time employment
595,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,,Divorced,Hindu,Seldom,Democrat,,Liberal,1,Retired
597,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Protestant,A few times a year,,,Very liberal,1 person,Full-time employment
598,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,White,,,Protestant,A few times a year,Democrat,,Liberal,2 people,Full-time employment
600,"Lives in the South region of the United States (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL).",Female.,18-29 years old.,High school graduate.,White.,"Yes, a citizen of the United States.",Never been married.,Other.,A few times a year.,Republican.,"Less than $30,000 per year.",Very conservative.,2 people.,Unemployed.
602,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,,Married,Roman Catholic,Seldom,Democrat,,Moderate,More than 4,Part-time employment
603,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",,Other,Never,Democrat,"\$50,000-\$75,000",Moderate,2 people,Unemployed
604,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,30-49,"Some college, no degree",White,,Married,Agnostic,Never,Republican,,Moderate,4 people,Full-time employment
608,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",,Protestant,Seldom,Democrat,,Liberal,4 people,Full-time employment
609,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,Never,,,Conservative,2,Part-time employment
610,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Agnostic,Seldom,Democrat,,Very liberal,1 person,Self-employed
613,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,High school graduate,White,,Widowed,Protestant,Once a week,,,Very conservative,1 person,Full-time employment
615,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,18-29,Associate's degree,Asian,"Yes, a citizen of the United States",Never been married,Other,Never,,,Moderate,3 people,Part-time employment
616,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Never been married,Protestant,Once or twice a month,Democrat,,Very liberal,1 person,Self-employed
617,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,Black,,Married,Agnostic,Never,,,Very liberal,2,Full-time employment
618,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Protestant,Once or twice a month,Republican,"$100,000 or more",Conservative,4 people,Full-time employment
619,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Jewish,Seldom,Republican,,Conservative,4 people,Full-time employment
620,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,Republican,,Conservative,3 people,Part-time employment
622,"Pacific (HI, AK)",Female,30-49,Associate's degree,Asian,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Democrat,,Liberal,1 person,Full-time employment
625,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",Black,"Yes, a citizen of the United States",,Other,Once a week,Democrat,,Liberal,More than 4,Full-time employment
626,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,65+,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,Democrat,"Less than $30,000",Liberal,1 person,Self-employed
628,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Protestant,Never,Democrat,,Liberal,2 people,Full-time employment
629,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Other,Seldom,Democrat,,Liberal,More than 4,Part-time employment
630,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,High school graduate,White,"Yes, a citizen of the United States",,Nothing in particular,Never,Republican,,Moderate,4 people,Full-time employment
631,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",White,,,Atheist,Never,Democrat,,Very liberal,2 people,Part-time employment
633,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,White,,Never been married,Atheist,Never,Independent,,Conservative,3,Unemployed
634,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,Yes,Married,Jewish,A few times a year,Democrat,"\$100,000 or more",Very liberal,2,Full-time employment
636,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,,,Moderate,3 people,Part-time employment
637,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",Asian,,Never been married,Nothing in particular,Never,,,Moderate,More than 4,Student
640,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Divorced,Atheist,Never,,,Moderate,2,Full-time employment
641,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",,Protestant,Seldom,,,Conservative,More than 4,Retired
644,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",Black,,Never been married,Other,Seldom,Democrat,,Conservative,1,Full-time employment
646,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,Postgraduate,Other,,Never been married,Nothing in particular,Never,Democrat,,Liberal,1,Full-time employment
647,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Nothing in particular,Never,,,Very liberal,2 people,Full-time employment
650,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Associate's degree,Other,,Married,Other,Never,Something else,,Moderate,2,Self-employed
651,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Married,Atheist,Never,,,Liberal,3 people,Full-time employment
654,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",Hispanic,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Independent,"\$50,000-\$75,000",Moderate,4,Unemployed
655,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,"Some college, no degree",White,,,Agnostic,Never,Democrat,,Liberal,2 people,Full-time employment
656,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",Black,,,Other,Once or twice a month,Democrat,,Moderate,2,Unemployed
657,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,"Some college, no degree",White,,Divorced,Jewish,Seldom,Democrat,,Moderate,1 person,Full-time employment
658,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,Postgraduate,White,,Married,Protestant,Once a week,Republican,,Conservative,4,Full-time employment
660,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,College graduate/some postgrad,Hispanic,,Never been married,Nothing in particular,Never,Democrat,,Liberal,1,Full-time employment
661,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,White,,Divorced,Other,A few times a year,Republican,,Conservative,More than 4,Full-time employment
662,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,,,Moderate,1 person,Unemployed
663,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",Other,,Never been married,Orthodox,More than once a week,Republican,,Very conservative,3,Full-time employment
664,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,More than once a week,Republican,,Conservative,1 person,Full-time employment
667,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Postgraduate,Black,,Married,Agnostic,Never,,,Conservative,More than 4,Unemployed
668,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,"Less than $30,000",Liberal,4 people,Unemployed
670,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Married,Roman Catholic,Never,Democrat,,Liberal,More than 4,Retired
676,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,"Some college, no degree",White,,Never been married,Agnostic,Never,,,Moderate,1,Full-time employment
677,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Protestant,Never,Democrat,,Moderate,2 people,Self-employed
679,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,Postgraduate,White,,Married,Jewish,Seldom,,,Moderate,2,Part-time employment
680,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",Black,,Never been married,Orthodox,A few times a year,Democrat,,Liberal,2 people,Full-time employment
681,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Once or twice a month,Republican,,Conservative,1 person,Full-time employment
682,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Postgraduate,Asian,,Married,Atheist,Never,,,Liberal,2,Part-time employment
